"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Aspartic acid",0.171871549636053,0.0100267963530625,0.500178601927529,0.68748619854421,0.0401071854122499,2.00071440771012,0.000264829649858375,0.0000631219712400346,0.000824065164156127
"Asparagine",0.055724070989705,0.0189236747063211,0.156693772984991,0.22289628395882,0.0756946988252845,0.626775091939964,0.000108905539337486,0.0000257038172594139,0.000261830672847268
"Arsenobetaine",0.0189001914715503,0.00236261789574267,0.0536857696148642,0.0945009573577515,0.0118130894787133,0.268428848074321,0.0000333913454449553,0.00000556469534078937,0.000218319887388112
"Arginine",0.0742955398914527,0.0140231682517536,0.386745474214285,0.445773239348716,0.0841390095105218,2.32047284528571,0.00020532580116525,0.0000666062788845822,0.000901421811257009
"AMP",0.0368087048805351,0.00025532842307408,0.381560747896628,0.368087048805351,0.0025532842307408,3.81560747896628,0.000139183419489243,0.00000314253959495263,0.00167166798662161
"Aminobutyric Acid",0.0698275432738876,0.02468222532775,0.121564242931977,0.27931017309555,0.0987289013110001,0.48625697172791,0.000133779222226253,0.0000363651748609394,0.000421990646607821
"Amino Propanesulfonic Acid",0.0543339494324747,0.0106817189923398,0.581395509142236,0.163001848297424,0.0320451569770193,1.74418652742671,0.0000808948320217987,0.00000815172630188375,0.000727216044688849
"Allopurinol",0.000911287211817338,0.0000250230820757826,0.0033860032323839,0.00455643605908669,0.000125115410378913,0.0169300161619195,0.00000253531912510276,0.000000153368157860789,0.0000111472612940093
"Alanine",0.288649296260232,0.067658176498628,2.13830244121824,0.865947888780697,0.202974529495884,6.41490732365471,0.000399648453475929,0.000110423179426334,0.00264849724345168
"Adenosyl Methionine",0.00100060306852045,0.0000456112125100221,0.0196056526229229,0.0150090460278068,0.000684168187650332,0.294084789343843,0.00000654484144902078,0.000000455316043016207,0.000122332189993822
"Adenosyl Homocysteine",0.00294587422380848,0.000312266975201839,0.0321886757814658,0.0412422391333187,0.00437173765282574,0.450641460940521,0.0000207913059956053,0.00000179669652902938,0.000266486078092643
"Adenosine",0.0271711211614196,0.00319753284405744,0.0859382248339017,0.271711211614196,0.0319753284405744,0.859382248339017,0.000128402578918388,0.0000244163793630191,0.000449294025328288
"Adenine",0.0395984810199258,0.00736256102463558,0.0755529332438209,0.197992405099629,0.0368128051231779,0.377764666219104,0.000091967216672981,0.0000217919867401797,0.000177169291755041
"Aconitic Acid",0.00020578959766511,0.0000723267424604791,0.00198155507635679,0.00123473758599066,0.000433960454762875,0.0118893304581407,0.000000613323628299119,0.000000150950862726632,0.00000569473787310367
"Acetyl-L-carnitine",0.00438164502013476,0.00131934248679292,0.0186487129356748,0.0394348051812129,0.0118740823811363,0.167838416421073,0.0000179214001735857,0.00000431217870705385,0.000140910635125766
"6-Methyladenine",26.1094241832735,2.99504121798018,77.8667332649515,156.656545099641,17.9702473078811,467.200399589709,0.0744106734074187,0.0145812860750895,0.341704288173465
"5-Methylcytosine",2.7852486366902,1.27680104462865,23.2897334730184,13.926243183451,6.38400522314326,116.448667365092,0.00764229260695171,0.00174513660731492,0.0479635123424775
"4-Hydroxyisoleucine",1.875026329419,0.343802876789008,16.7056407748191,11.250157976514,2.06281726073405,100.233844648915,0.00543737981608223,0.00103404022298532,0.0389152536885223
"(3-Carboxypropyl)trimethylammonium (TMAB)",26.8749884155132,4.84850180710785,68.0394202295988,188.124918908593,33.939512649755,476.275941607192,0.0936886635885583,0.0159682878439941,0.187720530709765
