"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1175m","C",NA,"Inj_vol",NA,"180905_Smp_MS8C1175m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1DCM","A",1399,"Inj_vol",1363.12820512821,"180905_Smp_MS8C1DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1DCM","B",NA,"Inj_vol",NA,"180905_Smp_MS8C1DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1DCM","C",NA,"Inj_vol",NA,"180905_Smp_MS8C1DCM_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C215m","A",2235,"Inj_vol",2177.69230769231,"180905_Smp_MS9C215m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C215m","B",4565,"Inj_vol",4447.94871794872,"180905_Smp_MS9C215m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C215m","C",NA,"Inj_vol",NA,"180905_Smp_MS9C215m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2175m","A",1324,"Inj_vol",1290.05128205128,"180905_Smp_MS9C2175m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2175m","B",3398,"Inj_vol",3310.87179487179,"180905_Smp_MS9C2175m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2175m","C",3882,"Inj_vol",3782.46153846154,"180905_Smp_MS9C2175m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2DCM","A",7020,"Inj_vol",6840,"180905_Smp_MS9C2DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2DCM","B",4640,"Inj_vol",4521.02564102564,"180905_Smp_MS9C2DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS9C2DCM","C",NA,"Inj_vol",NA,"180905_Smp_MS9C2DCM_C trans Retinal"
"Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4",0.182075835386507,0,"180905","Poo","Day1and2Poo","Full1",40708972,"Tryptamine Hydrochloride, D4",43793399.5384615,"180905_Poo_Day1and2Poo_Full1 Tryptamine Hydrochloride, D4"
"Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4",0.182075835386507,0,"180905","Poo","Day1and2Poo","Full2",45467472,"Tryptamine Hydrochloride, D4",43793399.5384615,"180905_Poo_Day1and2Poo_Full2 Tryptamine Hydrochloride, D4"
"Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4",0.182075835386507,0,"180905","Poo","Day1and2Poo","Full3",44294536,"Tryptamine Hydrochloride, D4",43793399.5384615,"180905_Poo_Day1and2Poo_Full3 Tryptamine Hydrochloride, D4"
"Tryptamine Hydrochloride, D4","Tryptamine Hydrochloride, D4",0.182075835386507,0,"180905","Poo","Day1and2Poo","Full4",45720768,"Tryptamine Hydrochloride, D4",43793399.5384615,"180905_Poo_Day1and2Poo_Full4 Tryptamine Hydrochloride, D4"
